Date,DHW Demand(GWh),Heating Demand(GWh),Heating COP, DHW COP, Temperature (C)
2014-08-14,216.0,0.16942873851259388,4.841508658790542,2.348979100988211,14.03822777398465
2014-08-15,216.0,0.49636639134955163,4.837646632956634,2.3507680447226997,14.1681538110924
2014-08-16,216.0,4.67074178681947,4.834068396437908,2.354561357251837,14.407508529158859
2014-08-17,216.0,13.034397088716972,4.827323379365358,2.3516032402588483,14.193691528223319
2014-08-18,216.0,15.93330715410713,4.8127999429192565,2.3395894401960406,13.333185074971931
2014-08-19,216.0,22.597113078765567,4.71660937874441,2.3199920939982177,11.78702369922228
2014-08-20,216.0,36.67839928413997,4.69696194378266,2.3183005728983805,11.635286414545174
2014-08-21,216.0,62.34045518296279,4.749128360406155,2.3238115162870034,12.105559564073669
2014-08-22,216.0,40.161038968204444,4.758520710826344,2.3338865317116255,12.839212836705903
2014-08-23,216.0,51.18803499519394,4.707686692328929,2.3197163758795494,11.747015490067609
2014-08-24,216.0,40.37859204419351,4.741327852112877,2.323241598712114,12.050726268527905
2014-08-25,216.0,50.56703349185425,4.794812235102616,2.342424504212076,13.49366968826065
2014-08-26,216.0,12.996924401342628,4.819739883443938,2.3507220849550086,14.11519521241033
2014-08-27,216.0,7.0053083384342365,4.822433270088561,2.3499391257074427,14.062307744798026
2014-08-28,216.0,0.5245204795098499,4.842431471219172,2.382049216584558,16.206048515323698
2014-08-29,216.0,0.326938799535791,4.842287389468094,2.3688044148576615,15.382051628307265
2014-08-30,216.0,0.13511658732043585,4.842367026672842,2.3605359398177734,14.838570679707672
2014-08-31,216.0,0.04184444065645386,4.8424037647330875,2.3592535544740363,14.75525297431503
2014-09-01,216.0,0.0809875975737728,4.8421853494399425,2.360415731524568,14.834835214251218
2014-09-02,216.0,0.06366771535784135,4.842319481096114,2.360844275443346,14.84901854113065
2014-09-03,216.0,0.0883725510198129,4.842325309806598,2.3781382072936506,15.972303042266482
2014-09-04,216.0,0.010170669760771283,4.84249784484054,2.380850627704163,16.156141212980067
